Day,Market Name,Order Count,Revenue
2018-12-18T00:00:00.000-05:00,Chicago IL,1,1083
2018-12-20T00:00:00.000-05:00,Chicago IL,2,700.5
2018-12-21T00:00:00.000-05:00,Chicago IL,1,398.25
2018-12-23T00:00:00.000-05:00,Chicago IL,2,741.75
2018-12-27T00:00:00.000-05:00,Chicago IL,1,422.25
2018-12-28T00:00:00.000-05:00,Chicago IL,1,783
2019-01-02T00:00:00.000-05:00,Chicago IL,3,1342.25
2019-01-03T00:00:00.000-05:00,Chicago IL,3,3102.5
2019-01-04T00:00:00.000-05:00,Chicago IL,3,1180
2019-01-07T00:00:00.000-05:00,Chicago IL,1,396
2019-01-10T00:00:00.000-05:00,Chicago IL,2,559
2019-01-11T00:00:00.000-05:00,Chicago IL,2,1080
2019-01-12T00:00:00.000-05:00,Chicago IL,4,2038.25
2019-01-13T00:00:00.000-05:00,Chicago IL,1,440
2019-01-15T00:00:00.000-05:00,Chicago IL,1,480.75
2019-01-17T00:00:00.000-05:00,Chicago IL,1,461.25
2019-01-20T00:00:00.000-05:00,Chicago IL,2,597.25
2019-01-26T00:00:00.000-05:00,Chicago IL,2,1096
2019-01-27T00:00:00.000-05:00,Chicago IL,5,884.5
2019-01-28T00:00:00.000-05:00,Chicago IL,1,484.75
2019-01-31T00:00:00.000-05:00,Chicago IL,1,1223.75
2019-02-01T00:00:00.000-05:00,Chicago IL,1,671.25
2019-02-02T00:00:00.000-05:00,Chicago IL,1,426
2019-02-04T00:00:00.000-05:00,Chicago IL,3,827.5
2019-02-05T00:00:00.000-05:00,Chicago IL,2,1119.75
2019-02-06T00:00:00.000-05:00,Chicago IL,1,410.5
2019-02-08T00:00:00.000-05:00,Chicago IL,2,761
2019-02-16T00:00:00.000-05:00,Chicago IL,2,416
2018-03-25T00:00:00.000-04:00,"Chicago, IL",2,322.5
2018-03-26T00:00:00.000-04:00,"Chicago, IL",2,344
2018-03-27T00:00:00.000-04:00,"Chicago, IL",1,382.25
2018-03-31T00:00:00.000-04:00,"Chicago, IL",1,120
2018-04-06T00:00:00.000-04:00,"Chicago, IL",1,367.75
2018-04-07T00:00:00.000-04:00,"Chicago, IL",1,270
2018-04-10T00:00:00.000-04:00,"Chicago, IL",1,119
2018-04-16T00:00:00.000-04:00,"Chicago, IL",1,348
2018-04-17T00:00:00.000-04:00,"Chicago, IL",1,99
2018-04-23T00:00:00.000-04:00,"Chicago, IL",1,247.5
2018-04-30T00:00:00.000-04:00,"Chicago, IL",10,3349.5
2018-05-05T00:00:00.000-04:00,"Chicago, IL",6,3196.5
2018-05-09T00:00:00.000-04:00,"Chicago, IL",1,282.75
2018-05-17T00:00:00.000-04:00,"Chicago, IL",1,322.5
2018-05-26T00:00:00.000-04:00,"Chicago, IL",6,3342.25
2018-05-27T00:00:00.000-04:00,"Chicago, IL",8,4019
2018-06-01T00:00:00.000-04:00,"Chicago, IL",11,3752.5
2018-06-02T00:00:00.000-04:00,"Chicago, IL",9,3579.25
2018-06-09T00:00:00.000-04:00,"Chicago, IL",4,3224.75
2018-06-15T00:00:00.000-04:00,"Chicago, IL",6,3909.75
2018-06-27T00:00:00.000-04:00,"Chicago, IL",7,3404.25
2018-06-28T00:00:00.000-04:00,"Chicago, IL",12,4575.75
2018-06-29T00:00:00.000-04:00,"Chicago, IL",24,11326
2018-06-30T00:00:00.000-04:00,"Chicago, IL",19,12339.25
2018-07-01T00:00:00.000-04:00,"Chicago, IL",12,7331.75
2018-07-02T00:00:00.000-04:00,"Chicago, IL",11,4425.5
2018-07-06T00:00:00.000-04:00,"Chicago, IL",7,3550.75
2018-07-09T00:00:00.000-04:00,"Chicago, IL",2,232.75
2018-07-12T00:00:00.000-04:00,"Chicago, IL",2,387
2018-07-15T00:00:00.000-04:00,"Chicago, IL",8,3680.25
2018-07-16T00:00:00.000-04:00,"Chicago, IL",8,4009
2018-07-26T00:00:00.000-04:00,"Chicago, IL",7,3928.75
2018-07-27T00:00:00.000-04:00,"Chicago, IL",11,5073.75
2018-07-28T00:00:00.000-04:00,"Chicago, IL",19,9385.75
2018-07-29T00:00:00.000-04:00,"Chicago, IL",15,6526.25
2018-07-30T00:00:00.000-04:00,"Chicago, IL",15,5842.25
2018-07-31T00:00:00.000-04:00,"Chicago, IL",17,9144.25
2018-08-01T00:00:00.000-04:00,"Chicago, IL",15,6733.5
2018-08-02T00:00:00.000-04:00,"Chicago, IL",8,3190
2018-08-25T00:00:00.000-04:00,"Chicago, IL",4,3176.5
2018-08-29T00:00:00.000-04:00,"Chicago, IL",11,3983.75
2018-08-30T00:00:00.000-04:00,"Chicago, IL",6,3515.5
2018-08-31T00:00:00.000-04:00,"Chicago, IL",13,5622.5
